Frame No,Start,End,latitude,Longitude,Altitude,Speed,Distance
74,"00:02,435","00:02,469",9.365143,80.089065,123.087,4.780167361086848,0.0
75,"00:02,469","00:02,502",9.365140,80.089068,123.074,5.060632371551998,0.0004951069421683
76,"00:02,502","00:02,535",9.365140,80.089068,123.074,5.060632371551998,0.0
77,"00:02,535","00:02,569",9.365140,80.089068,123.074,5.060632371551998,0.0
78,"00:02,569","00:02,602",9.365137,80.089072,123.092,5.341348144429457,0.0005823920473760474
79,"00:02,602","00:02,635",9.365137,80.089072,123.092,5.341348144429457,0.0
80,"00:02,635","00:02,669",9.365137,80.089072,123.092,5.341348144429457,0.0
81,"00:02,669","00:02,702",9.365134,80.089076,123.082,5.70087712549569,0.0005823920506765691
82,"00:02,702","00:02,736",9.365134,80.089076,123.082,5.70087712549569,0.0
83,"00:02,736","00:02,769",9.365134,80.089076,123.082,5.70087712549569,0.0
84,"00:02,769","00:02,802",9.365131,80.089080,123.097,5.981638571495273,0.000582392052576983
85,"00:02,802","00:02,836",9.365131,80.089080,123.097,5.981638571495273,0.0
86,"00:02,836","00:02,869",9.365131,80.089080,123.097,5.981638571495273,0.0
87,"00:02,869","00:02,902",9.365128,80.089085,123.083,6.262587324740471,0.0006783077776442405
88,"00:02,902","00:02,936",9.365128,80.089085,123.083,6.262587324740471,0.0
89,"00:02,936","00:02,969",9.365128,80.089085,123.083,6.262587324740471,0.0
90,"00:02,969","00:03,003",9.365124,80.089089,123.093,6.481512169239521,0.000660142605724209
91,"00:03,003","00:03,036",9.365124,80.089089,123.093,6.481512169239521,0.0
92,"00:03,036","00:03,069",9.365124,80.089089,123.093,6.481512169239521,0.0
93,"00:03,069","00:03,103",9.365120,80.089094,123.082,6.762396025078686,0.0007461294803519644
94,"00:03,103","00:03,136",9.365120,80.089094,123.082,6.762396025078686,0.0
95,"00:03,136","00:03,169",9.365120,80.089094,123.082,6.762396025078686,0.0
96,"00:03,169","00:03,203",9.365116,80.089099,123.096,6.981403870282824,0.0007461294866807
97,"00:03,203","00:03,236",9.365116,80.089099,123.096,6.981403870282824,0.0
98,"00:03,236","00:03,269",9.365116,80.089099,123.096,6.981403870282824,0.0
99,"00:03,269","00:03,303",9.365112,80.089104,123.088,7.200694410957877,0.0007461294918639793
100,"00:03,303","00:03,336",9.365112,80.089104,123.088,7.200694410957877,0.0
101,"00:03,336","00:03,370",9.365112,80.089104,123.088,7.200694410957877,0.0
102,"00:03,370","00:03,403",9.365108,80.089110,123.108,7.340980860893182,0.0008393458719248439
103,"00:03,403","00:03,436",9.365108,80.089110,123.108,7.340980860893182,0.0
104,"00:03,436","00:03,470",9.365108,80.089110,123.108,7.340980860893182,0.0
105,"00:03,470","00:03,503",9.365104,80.089115,123.102,7.481310045707236,0.0007461295009674165
106,"00:03,503","00:03,536",9.365104,80.089115,123.102,7.481310045707236,0.0
107,"00:03,536","00:03,570",9.365104,80.089115,123.102,7.481310045707236,0.0
108,"00:03,570","00:03,603",9.365100,80.089121,123.121,7.6400261779656224,0.000839345885090219
109,"00:03,603","00:03,636",9.365100,80.089121,123.121,7.6400261779656224,0.0
110,"00:03,636","00:03,670",9.365100,80.089121,123.121,7.6400261779656224,0.0
111,"00:03,670","00:03,703",9.365096,80.089126,123.117,7.780102827083971,0.0007461295115692822
112,"00:03,703","00:03,737",9.365096,80.089126,123.117,7.780102827083971,0.0
113,"00:03,737","00:03,770",9.365096,80.089126,123.117,7.780102827083971,0.0
114,"00:03,770","00:03,803",9.365092,80.089132,123.134,8.0,0.0008393458994774731
115,"00:03,803","00:03,837",9.365092,80.089132,123.134,8.0,0.0
116,"00:03,837","00:03,870",9.365092,80.089132,123.134,8.0,0.0
117,"00:03,870","00:03,903",9.365088,80.089137,123.127,8.140024569987489,0.0007461295206727019
118,"00:03,903","00:03,937",9.365088,80.089137,123.127,8.140024569987489,0.0
119,"00:03,937","00:03,970",9.365088,80.089137,123.127,8.140024569987489,0.0
120,"00:03,970","00:04,004",9.365083,80.089143,123.134,8.360023923410745,0.0009103359413199458
121,"00:04,004","00:04,037",9.365083,80.089143,123.134,8.360023923410745,0.0
122,"00:04,037","00:04,070",9.365083,80.089143,123.134,8.360023923410745,0.0
123,"00:04,070","00:04,104",9.365078,80.089150,123.119,8.440379138403676,0.0010016861546286824
124,"00:04,104","00:04,137",9.365078,80.089150,123.119,8.440379138403676,0.0
125,"00:04,137","00:04,170",9.365078,80.089150,123.119,8.440379138403676,0.0
126,"00:04,170","00:04,204",9.365073,80.089156,123.128,8.580209787645055,0.0009103359543606297
127,"00:04,204","00:04,237",9.365073,80.089156,123.128,8.580209787645055,0.0
128,"00:04,237","00:04,270",9.365073,80.089156,123.128,8.580209787645055,0.0
129,"00:04,270","00:04,304",9.365069,80.089163,123.112,8.80056816347672,0.0009376381123858921
130,"00:04,304","00:04,337",9.365069,80.089163,123.112,8.80056816347672,0.0
131,"00:04,337","00:04,371",9.365069,80.089163,123.112,8.80056816347672,0.0
132,"00:04,371","00:04,404",9.365064,80.089169,123.120,8.94035793466906,0.0009103359681251195
133,"00:04,404","00:04,437",9.365064,80.089169,123.120,8.94035793466906,0.0
134,"00:04,437","00:04,471",9.365064,80.089169,123.120,8.94035793466906,0.0
135,"00:04,471","00:04,504",9.365059,80.089176,123.110,9.08019823572151,0.0010016861905733782
136,"00:04,504","00:04,537",9.365059,80.089176,123.110,9.08019823572151,0.0
137,"00:04,537","00:04,571",9.365059,80.089176,123.110,9.08019823572151,0.0
138,"00:04,571","00:04,604",9.365054,80.089182,123.118,9.220086767487604,0.0009103359832984355
139,"00:04,604","00:04,637",9.365054,80.089182,123.118,9.220086767487604,0.0
140,"00:04,637","00:04,671",9.365054,80.089182,123.118,9.220086767487604,0.0
141,"00:04,671","00:04,704",9.365049,80.089189,123.104,9.440338976964757,0.0010016862119901757
142,"00:04,704","00:04,738",9.365049,80.089189,123.104,9.440338976964757,0.0
143,"00:04,738","00:04,771",9.365049,80.089189,123.104,9.440338976964757,0.0
144,"00:04,771","00:04,804",9.365044,80.089196,123.111,9.58018788959799,0.0010016862202547785
145,"00:04,804","00:04,838",9.365044,80.089196,123.111,9.58018788959799,0.0
146,"00:04,838","00:04,871",9.365044,80.089196,123.111,9.58018788959799,0.0
147,"00:04,871","00:04,904",9.365039,80.089203,123.097,9.800510190801294,0.001001686228519376
148,"00:04,904","00:04,938",9.365039,80.089203,123.097,9.800510190801294,0.0
149,"00:04,938","00:04,971",9.365039,80.089203,123.097,9.800510190801294,0.0
150,"00:04,971","00:05,004",9.365034,80.089210,123.100,9.940321926376429,0.0010016862390634276
151,"00:05,004","00:05,038",9.365034,80.089210,123.100,9.940321926376429,0.0
152,"00:05,038","00:05,071",9.365034,80.089210,123.100,9.940321926376429,0.0
153,"00:05,071","00:05,105",9.365028,80.089218,123.086,10.080178569846865,0.001164784323298964
154,"00:05,105","00:05,138",9.365028,80.089218,123.086,10.080178569846865,0.0
155,"00:05,138","00:05,171",9.365028,80.089218,123.086,10.080178569846865,0.0
156,"00:05,171","00:05,205",9.365023,80.089225,123.094,10.16070863670443,0.0010016862586789213
157,"00:05,205","00:05,238",9.365023,80.089225,123.094,10.16070863670443,0.0
158,"00:05,238","00:05,271",9.365023,80.089225,123.094,10.16070863670443,0.0
159,"00:05,271","00:05,305",9.365017,80.089233,123.083,10.300485425454472,0.0011647843467864978
160,"00:05,305","00:05,338",9.365017,80.089233,123.083,10.300485425454472,0.0
161,"00:05,338","00:05,372",9.365017,80.089233,123.083,10.300485425454472,0.0
162,"00:05,372","00:05,405",9.365011,80.089241,123.089,10.44030650891055,0.00116478435931009
163,"00:05,405","00:05,438",9.365011,80.089241,123.089,10.44030650891055,0.0
164,"00:05,438","00:05,472",9.365011,80.089241,123.089,10.44030650891055,0.0
165,"00:05,472","00:05,505",9.365006,80.089248,123.072,10.580170130957253,0.0010016862910588891
166,"00:05,505","00:05,538",9.365006,80.089248,123.072,10.580170130957253,0.0
167,"00:05,538","00:05,572",9.365006,80.089248,123.072,10.580170130957253,0.0
168,"00:05,572","00:05,605",9.365000,80.089256,123.077,10.720074626605918,0.001164784382684526
169,"00:05,605","00:05,638",9.365000,80.089256,123.077,10.720074626605918,0.0
170,"00:05,638","00:05,672",9.365000,80.089256,123.077,10.720074626605918,0.0
171,"00:05,672","00:05,705",9.364994,80.089264,123.061,10.940292500660117,0.0011647843944863226
172,"00:05,705","00:05,739",9.364994,80.089264,123.061,10.940292500660117,0.0
173,"00:05,739","00:05,772",9.364994,80.089264,123.061,10.940292500660117,0.0
174,"00:05,772","00:05,805",9.364988,80.089272,123.070,11.080162453682709,0.00116478440712294
175,"00:05,805","00:05,839",9.364988,80.089272,123.070,11.080162453682709,0.0
176,"00:05,839","00:05,872",9.364988,80.089272,123.070,11.080162453682709,0.0
177,"00:05,872","00:05,905",9.364983,80.089279,123.058,11.160645142642965,0.0010016863367404583
178,"00:05,905","00:05,939",9.364983,80.089279,123.058,11.160645142642965,0.0
179,"00:05,939","00:05,972",9.364983,80.089279,123.058,11.160645142642965,0.0
180,"00:05,972","00:06,005",9.364977,80.089288,123.075,11.300442469213317,0.0012590191312883885
181,"00:06,005","00:06,039",9.364977,80.089288,123.075,11.300442469213317,0.0
182,"00:06,039","00:06,072",9.364977,80.089288,123.075,11.300442469213317,0.0
183,"00:06,072","00:06,106",9.364970,80.089297,123.064,11.440279716860074,0.0013283612466077066
184,"00:06,106","00:06,139",9.364970,80.089297,123.064,11.440279716860074,0.0
185,"00:06,139","00:06,172",9.364970,80.089297,123.064,11.440279716860074,0.0
186,"00:06,172","00:06,206",9.364964,80.089305,123.080,11.520850663036997,0.0011647844581215519
187,"00:06,206","00:06,239",9.364964,80.089305,123.080,11.520850663036997,0.0
188,"00:06,239","00:06,272",9.364964,80.089305,123.080,11.520850663036997,0.0
189,"00:06,272","00:06,306",9.364958,80.089313,123.071,11.580155439371271,0.0011647844732191773
190,"00:06,306","00:06,339",9.364958,80.089313,123.071,11.580155439371271,0.0
191,"00:06,339","00:06,373",9.364958,80.089313,123.071,11.580155439371271,0.0
192,"00:06,373","00:06,406",9.364952,80.089322,123.091,11.660617479361889,0.0012590191921639786
193,"00:06,406","00:06,439",9.364952,80.089322,123.091,11.660617479361889,0.0
194,"00:06,439","00:06,473",9.364952,80.089322,123.091,11.660617479361889,0.0
195,"00:06,473","00:06,506",9.364946,80.089330,123.077,11.800423721205947,0.001164784497544423
196,"00:06,506","00:06,539",9.364946,80.089330,123.077,11.800423721205947,0.0
197,"00:06,539","00:06,573",9.364946,80.089330,123.077,11.800423721205947,0.0
198,"00:06,573","00:06,606",9.364940,80.089339,123.092,11.881077392223316,0.0012590192232428076
199,"00:06,606","00:06,639",9.364940,80.089339,123.092,11.881077392223316,0.0
200,"00:06,639","00:06,673",9.364940,80.089339,123.092,11.881077392223316,0.0
201,"00:06,673","00:06,706",9.364932,80.089348,123.078,12.020815280171307,0.0014041226580116409
202,"00:06,706","00:06,740",9.364932,80.089348,123.078,12.020815280171307,0.0
203,"00:06,740","00:06,773",9.364932,80.089348,123.078,12.020815280171307,0.0
204,"00:06,773","00:06,806",9.364926,80.089357,123.093,12.101652779682617,0.0012590192591931516
205,"00:06,806","00:06,840",9.364926,80.089357,123.093,12.101652779682617,0.0
206,"00:06,840","00:06,873",9.364926,80.089357,123.093,12.101652779682617,0.0
207,"00:06,873","00:06,906",9.364920,80.089365,123.078,12.16059209084821,0.0011647845517317298
208,"00:06,906","00:06,940",9.364920,80.089365,123.078,12.16059209084821,0.0
209,"00:06,940","00:06,973",9.364920,80.089365,123.078,12.16059209084821,0.0
210,"00:06,973","00:07,006",9.364913,80.089374,123.099,12.2413234578619,0.0013283613822986662
211,"00:07,006","00:07,040",9.364913,80.089374,123.099,12.2413234578619,0.0
212,"00:07,040","00:07,073",9.364913,80.089374,123.099,12.2413234578619,0.0
213,"00:07,073","00:07,107",9.364907,80.089383,123.083,12.300406497347964,0.0012590193040227082
214,"00:07,107","00:07,140",9.364907,80.089383,123.083,12.300406497347964,0.0
215,"00:07,140","00:07,173",9.364907,80.089383,123.083,12.300406497347964,0.0
216,"00:07,173","00:07,207",9.364900,80.089393,123.108,12.381033882515627,0.0014212043827687211
217,"00:07,207","00:07,240",9.364900,80.089393,123.108,12.381033882515627,0.0
218,"00:07,240","00:07,273",9.364900,80.089393,123.108,12.381033882515627,0.0
219,"00:07,273","00:07,307",9.364893,80.089402,123.095,12.52078272313676,0.0013283614293467486
220,"00:07,307","00:07,340",9.364893,80.089402,123.095,12.52078272313676,0.0
221,"00:07,340","00:07,374",9.364893,80.089402,123.095,12.52078272313676,0.0
222,"00:07,374","00:07,407",9.364886,80.089412,123.109,12.52078272313676,0.001421204419662096
223,"00:07,407","00:07,440",9.364886,80.089412,123.109,12.52078272313676,0.0
224,"00:07,440","00:07,474",9.364886,80.089412,123.109,12.52078272313676,0.0
225,"00:07,474","00:07,507",9.364880,80.089420,123.096,12.601587201618692,0.0011647846379027361
226,"00:07,507","00:07,540",9.364880,80.089420,123.096,12.601587201618692,0.0
227,"00:07,540","00:07,574",9.364880,80.089420,123.096,12.601587201618692,0.0
228,"00:07,574","00:07,607",9.364873,80.089429,123.121,12.601587201618692,0.0013283614753522813
229,"00:07,607","00:07,640",9.364873,80.089429,123.121,12.601587201618692,0.0
230,"00:07,640","00:07,674",9.364873,80.089429,123.121,12.601587201618692,0.0
231,"00:07,674","00:07,707",9.364866,80.089439,123.111,12.601587201618692,0.0014212044752877208
232,"00:07,707","00:07,741",9.364866,80.089439,123.111,12.601587201618692,0.0
233,"00:07,741","00:07,774",9.364866,80.089439,123.111,12.601587201618692,0.0
234,"00:07,774","00:07,807",9.364859,80.089449,123.129,12.601587201618692,0.0014212044943357092
235,"00:07,807","00:07,841",9.364859,80.089449,123.129,12.601587201618692,0.0
236,"00:07,841","00:07,874",9.364859,80.089449,123.129,12.601587201618692,0.0
237,"00:07,874","00:07,907",9.364853,80.089457,123.118,12.601587201618692,0.0011647846938754084
238,"00:07,907","00:07,941",9.364853,80.089457,123.118,12.601587201618692,0.0
239,"00:07,941","00:07,974",9.364853,80.089457,123.118,12.601587201618692,0.0
240,"00:07,974","00:08,007",9.364846,80.089466,123.144,12.52078272313676,0.0013283615402968016
241,"00:08,007","00:08,041",9.364846,80.089466,123.144,12.52078272313676,0.0
242,"00:08,041","00:08,074",9.364846,80.089466,123.144,12.52078272313676,0.0
243,"00:08,074","00:08,108",9.364839,80.089476,123.141,12.52078272313676,0.0014212045486503553
244,"00:08,108","00:08,141",9.364839,80.089476,123.141,12.52078272313676,0.0
245,"00:08,141","00:08,174",9.364839,80.089476,123.141,12.52078272313676,0.0
246,"00:08,174","00:08,208",9.364832,80.089486,123.170,12.52078272313676,0.0014212045666036662
247,"00:08,208","00:08,241",9.364832,80.089486,123.170,12.52078272313676,0.0
248,"00:08,241","00:08,274",9.364832,80.089486,123.170,12.52078272313676,0.0
249,"00:08,274","00:08,308",9.364826,80.089494,123.163,12.461942063739503,0.001164784752422023
250,"00:08,308","00:08,341",9.364826,80.089494,123.163,12.461942063739503,0.0
251,"00:08,341","00:08,375",9.364826,80.089494,123.163,12.461942063739503,0.0
252,"00:08,375","00:08,408",9.364820,80.089503,123.193,12.461942063739503,0.0012590195219147132
253,"00:08,408","00:08,441",9.364820,80.089503,123.193,12.461942063739503,0.0
254,"00:08,441","00:08,475",9.364820,80.089503,123.193,12.461942063739503,0.0
255,"00:08,475","00:08,508",9.364813,80.089512,123.187,12.461942063739503,0.001328361616958264
256,"00:08,508","00:08,541",9.364813,80.089512,123.187,12.461942063739503,0.0
257,"00:08,541","00:08,575",9.364813,80.089512,123.187,12.461942063739503,0.0
258,"00:08,575","00:08,608",9.364807,80.089522,123.217,12.461942063739503,0.0013566164646410437
259,"00:08,608","00:08,641",9.364807,80.089522,123.217,12.461942063739503,0.0
260,"00:08,641","00:08,675",9.364807,80.089522,123.217,12.461942063739503,0.0
261,"00:08,675","00:08,708",9.364800,80.089531,123.213,12.461942063739503,0.001328361647614384
262,"00:08,708","00:08,742",9.364800,80.089531,123.213,12.461942063739503,0.0
263,"00:08,742","00:08,775",9.364800,80.089531,123.213,12.461942063739503,0.0
264,"00:08,775","00:08,808",9.364793,80.089540,123.240,12.461942063739503,0.001328361665279616
265,"00:08,808","00:08,842",9.364793,80.089540,123.240,12.461942063739503,0.0
266,"00:08,842","00:08,875",9.364793,80.089540,123.240,12.461942063739503,0.0
267,"00:08,875","00:08,908",9.364787,80.089549,123.229,12.461942063739503,0.0012590196039154713
268,"00:08,908","00:08,942",9.364787,80.089549,123.229,12.461942063739503,0.0
269,"00:08,942","00:08,975",9.364787,80.089549,123.229,12.461942063739503,0.0
270,"00:08,975","00:09,009",9.364780,80.089558,123.243,12.381033882515627,0.0013283616947775644
271,"00:09,009","00:09,042",9.364780,80.089558,123.243,12.381033882515627,0.0
272,"00:09,042","00:09,075",9.364780,80.089558,123.243,12.381033882515627,0.0
273,"00:09,075","00:09,109",9.364774,80.089567,123.233,12.32233744059949,0.001259019636155332
274,"00:09,109","00:09,142",9.364774,80.089567,123.233,12.32233744059949,0.0
275,"00:09,142","00:09,175",9.364774,80.089567,123.233,12.32233744059949,0.0
276,"00:09,175","00:09,209",9.364767,80.089576,123.251,12.32233744059949,0.0013283617254335786
277,"00:09,209","00:09,242",9.364767,80.089576,123.251,12.32233744059949,0.0
278,"00:09,242","00:09,275",9.364767,80.089576,123.251,12.32233744059949,0.0
279,"00:09,275","00:09,309",9.364761,80.089585,123.242,12.2413234578619,0.0012590196699308216
280,"00:09,309","00:09,342",9.364761,80.089585,123.242,12.2413234578619,0.0
281,"00:09,342","00:09,376",9.364761,80.089585,123.242,12.2413234578619,0.0
282,"00:09,376","00:09,409",9.364755,80.089594,123.264,12.2413234578619,0.001259019683427917
283,"00:09,409","00:09,442",9.364755,80.089594,123.264,12.2413234578619,0.0
284,"00:09,442","00:09,476",9.364755,80.089594,123.264,12.2413234578619,0.0
285,"00:09,476","00:09,509",9.364747,80.089604,123.262,12.2413234578619,0.0014922599223018479
286,"00:09,509","00:09,542",9.364747,80.089604,123.262,12.2413234578619,0.0
287,"00:09,542","00:09,576",9.364741,80.089613,123.277,12.2413234578619,0.0012590197194821792
288,"00:09,576","00:09,609",9.364741,80.089613,123.277,12.2413234578619,0.0
289,"00:09,609","00:09,642",9.364741,80.089613,123.277,12.2413234578619,0.0
290,"00:09,642","00:09,676",9.364741,80.089613,123.277,12.2413234578619,0.0
291,"00:09,676","00:09,709",9.364734,80.089622,123.266,12.2413234578619,0.001328361804410612
292,"00:09,709","00:09,743",9.364734,80.089622,123.266,12.2413234578619,0.0
293,"00:09,743","00:09,776",9.364734,80.089622,123.266,12.2413234578619,0.0
294,"00:09,776","00:09,809",9.364728,80.089631,123.281,12.16059209084821,0.0012590197495918815
295,"00:09,809","00:09,843",9.364728,80.089631,123.281,12.16059209084821,0.0
296,"00:09,843","00:09,876",9.364728,80.089631,123.281,12.16059209084821,0.0
297,"00:09,876","00:09,909",9.364721,80.089640,123.266,12.16059209084821,0.0013283618349508226
298,"00:09,909","00:09,943",9.364721,80.089640,123.266,12.16059209084821,0.0
299,"00:09,943","00:09,976",9.364721,80.089640,123.266,12.16059209084821,0.0
300,"00:09,976","00:10,009",9.364715,80.089649,123.277,12.101652779682617,0.0012590197818315417
301,"00:10,009","00:10,043",9.364715,80.089649,123.277,12.101652779682617,0.0
302,"00:10,043","00:10,076",9.364715,80.089649,123.277,12.101652779682617,0.0
303,"00:10,076","00:10,110",9.364708,80.089657,123.261,12.101652779682617,0.0012394105411256482
304,"00:10,110","00:10,143",9.364708,80.089657,123.261,12.101652779682617,0.0
305,"00:10,143","00:10,176",9.364702,80.089666,123.272,12.101652779682617,0.0012590198155022377
306,"00:10,176","00:10,210",9.364702,80.089666,123.272,12.182774724995944,0.0
307,"00:10,210","00:10,243",9.364702,80.089666,123.272,12.182774724995944,0.0
308,"00:10,243","00:10,276",9.364702,80.089666,123.272,12.182774724995944,0.0
309,"00:10,276","00:10,310",9.364696,80.089676,123.251,12.182774724995944,0.0013566167811614493
310,"00:10,310","00:10,343",9.364696,80.089676,123.251,12.182774724995944,0.0
311,"00:10,343","00:10,377",9.364689,80.089685,123.262,12.182774724995944,0.0013283619104112396
312,"00:10,377","00:10,410",9.364689,80.089685,123.262,12.182774724995944,0.0
313,"00:10,410","00:10,443",9.364689,80.089685,123.262,12.182774724995944,0.0
314,"00:10,443","00:10,477",9.364689,80.089685,123.262,12.182774724995944,0.0
315,"00:10,477","00:10,510",9.364683,80.089693,123.244,12.182774724995944,0.0011647850553338152
316,"00:10,510","00:10,543",9.364683,80.089693,123.244,12.182774724995944,0.0
317,"00:10,543","00:10,577",9.364683,80.089693,123.244,12.182774724995944,0.0
318,"00:10,577","00:10,610",9.364676,80.089702,123.260,12.101652779682617,0.0013283619410669617
319,"00:10,610","00:10,643",9.364676,80.089702,123.260,12.101652779682617,0.0
320,"00:10,643","00:10,677",9.364676,80.089702,123.260,12.101652779682617,0.0
321,"00:10,677","00:10,710",9.364670,80.089712,123.245,12.101652779682617,0.001356616855278094
322,"00:10,710","00:10,744",9.364670,80.089712,123.245,12.101652779682617,0.0
323,"00:10,744","00:10,777",9.364664,80.089720,123.257,12.101652779682617,0.0011647850957064367
